[['如此爹娘', ['9.0'], '大陆', '喜剧', 'https://movie.douban.com/subject/3032535/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323730451.jpg']]
[['一磅肉', ['9.0'], '大陆', '喜剧', 'https://movie.douban.com/subject/3543679/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2342489640.jpg']]
[['小捣蛋', ['9.7'], '美国', '喜剧', 'https://movie.douban.com/subject/4714058/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217061102.jpg']]
[['威尔和格蕾丝 告别秀', ['9.6'], '美国', '喜剧', 'https://movie.douban.com/subject/2263259/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg']]
[['Wattstax', ['9.6'], '美国', '喜剧', 'https://movie.douban.com/subject/1975692/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374623518.jpg']]
[['哈利同人音乐剧第一部', ['9.6'], '美国', '喜剧', 'https://movie.douban.com/subject/20388406/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191854174.jpg']]
[['绿日乐队：圣经上的子弹演唱会', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/2052209/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510821205.jpg']]
[['怪诞小镇特别篇：松林之间', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/26744258/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324315416.jpg']]
[['创造“哈利`波特”的世界：生物', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/6721622/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2425167528.jpg']]
[['演员工作室：老爸老妈的浪漫史', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/25855990/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176444996.jpg']]
[['杰夫·敦哈姆：星星之火让人抓狂', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/2363526/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515501982.jpg']]
[['威尔和格蕾丝：后台通行证', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/3231922/', 'https://img1.doubanio.com/view/subject/l/public/s3279208.jpg']]
[['滑稽玩偶', ['9.5'], '美国', '喜剧', 'https://movie.douban.com/subject/5096157/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1528882872.jpg']]
[['阿甘正传', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/1292720/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg']]
[['福尔摩斯二世', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/1303408/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg']]
[['吉米·鸡毛逊毙了！马达翻身当主持', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/26721341/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2315824435.jpg']]
[['博弈论', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/3272459/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254959230.jpg']]
[['拜访森林', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/25741291/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155898916.jpg']]
[['克里斯洛克脱口秀', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/2150624/', 'https://img3.doubanio.com/view/subject/l/public/s2604291.jpg']]
[['聪明狗走天涯', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/1297777/', 'https://img1.doubanio.com/view/subject/l/public/s1788447.jpg']]
[['snorks', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/1863428/', 'https://img3.doubanio.com/view/subject/l/public/s1796635.jpg']]
[['30 Rock Kidney Now', ['9.4'], '美国', '喜剧', 'https://movie.douban.com/subject/3868403/', 'https://img3.doubanio.com/view/subject/l/public/s4044946.jpg']]
[['拾下拾下', ['9.6'], '香港', '喜剧', 'https://movie.douban.com/subject/26801795/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2359001422.jpg']]
[['秋前算账', ['9.6'], '香港', '喜剧', 'https://movie.douban.com/subject/26801794/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2358999062.jpg']]
[['哗众取宠', ['9.6'], '香港', '喜剧', 'https://movie.douban.com/subject/26791663/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2351203974.jpg']]
[['黄子华栋笃笑之冇炭用', ['9.6'], '香港', '喜剧', 'https://movie.douban.com/subject/26794221/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2352295709.jpg']]
[['越大镬越快乐', ['9.5'], '香港', '喜剧', 'https://movie.douban.com/subject/25810998/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2365168701.jpg']]
[['娱乐圈血肉史', ['9.3'], '香港', '喜剧', 'https://movie.douban.com/subject/25786046/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2210682395.jpg']]
[['娱乐圈血肉史2', ['9.3'], '香港', '喜剧', 'https://movie.douban.com/subject/26348796/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2239371338.jpg']]
[['黃子華栋笃笑之色情家庭', ['9.3'], '香港', '喜剧', 'https://movie.douban.com/subject/26796663/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2353716227.jpg']]
[['跟住去边度', ['9.3'], '香港', '喜剧', 'https://movie.douban.com/subject/26767519/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329970542.jpg']]
[['黃子華棟篤笑之末世財神', ['9.3'], '香港', '喜剧', 'https://movie.douban.com/subject/26797718/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2378106307.jpg']]
[['大话西游之大圣娶亲', ['9.2'], '香港', '喜剧', 'https://movie.douban.com/subject/1292213/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg']]
[['黄子华栋笃笑之洗燥', ['9.2'], '香港', '喜剧', 'https://movie.douban.com/subject/26582661/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2425882934.jpg']]
[['一磅肉', ['9.0'], '香港', '喜剧', 'https://movie.douban.com/subject/3543679/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2342489640.jpg']]
[['时之繁花', ['9.3'], '台湾', '喜剧', 'https://movie.douban.com/subject/25774028/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2216519411.jpg']]
